reg,zona,pacto,partido,cupo,orden,nombre,nombre_full,edad,sexo,profesion,web,x,facebook,instagram,tiktok,texto,cargos,elecciones,tag,foto,id_foto,patrimonio
III,6004,J,IND,RN,73,Carla Guaita,Carla Mirta Guaita Carrizo,44,M,Abogada,,,CarlaGuaitaC,carlaguaitacarrizo,,"Ex Seremi de Bienes Nacionales en Atacama, fue fiscal del MOP en la misma región. Abogada de la U. Católica del Norte.",2018-2020;E;Bienes Nacionales-III,2024;R;Copiapó;X;IND;1208;1.20|2021;D;4;X;IND;1761;1.78,O,Y,5103,1504924
III,6004,J,IND,UDI,74,Tania Borcosky,Tania Macarena Borcosky Ramírez,42,M,Arquitecta,taniaborcosky.cl,,taniamacarena.rojasramirez,tania_borcosky,tania.borcosky,"Cofundadora de la consultora Proyecto Ciudad, fue vicepresidenta de Gestión y Sostenibilidad en la CChC de Atacama. Arquitecta y Técnica en Minas.",x,x,N,Y,5104,1504180
III,6004,J,UDI,UDI,75,Kyle Campbell,Kyle Mathew Campbell Campbell,26,H,Egresado de Derecho,,,kylemathew.campbellcampbell,kyle_campbell.19,,Ex candidato a core por Copiapó y concejal en Tierra Amarilla. Coordinador de la zona norte de la red Movamos. Egresado de Derecho de la U. de Atacama.,x,2024;R;Copiapó;X;UDI;1727;1.71|2021;C;Tierra Amarilla;X;IND;232;4.00,P,Y,5105,1505631
III,6004,J,EVO,EVO,76,Nayaret Oviedo,Nayaret Lilian Oviedo Álvarez,45,M,Profesora de Educación Básica,,,nayaret.oviedo,nayaretoviedo,,"Docente y asesora técnica en la provincia del Huasco. Profesora de Educación Básica de la U. de Concepción, magíster en Gestión Directiva.",x,x,N,Y,5106,1504970
III,6004,J,EVO,EVO,77,Guillermo Cofré,Guillermo Andrés Cofré Muñoz,41,H,Abogado,,,profile.php?id=61574176196132,gcofrem,guillermocofremuo,Abogado de la U. del Alba.,x,2008;C;Alto del Carmen;X;UDI;20;0.64,P,Y,5107,1505868
III,6004,K,REP,REP,78,Ignacio Urcullú,Ignacio José Urcullú Clement-Lund,49,H,Ingeniero en Medio Ambiente y Recursos Naturales.,,iurcullu,profile.php?id=61556119126656,ignacio.urcullu2026,,"Fue candidato a gobernador de Atacama. Ex delegado presidencial en Chañaral. Ingeniero en Medio Ambiente y Recursos Naturales, licenciado en Ciencias Ambientales de la U. de Viña del Mar, magíster en Desarollo Sustentable.",2018-2022;L;Chañaral,2024;G;Atacama;X;REP;19351;11.26,P,Y,5108,1502875
III,6004,K,REP,REP,79,Susana Hiplan,Susana Salime Hiplan Esteffan,33,M,Abogada,susanahiplan.cl,SusanaHiplan,profile.php?id=61581336237703,susanahiplandiputada,susanahiplan,Ex candidata a la Convención Constitucional. Abogada de la U. de Chile. Trabajó en el departamento de Educación Pública del Min. de Educación.,x,2021;D;13;X;RN;6519;2.72|2021;V;13;X;RN;4510;1.95,O,Y,5109,1505738
III,6004,K,REP,REP,80,Karina Palleres,Karina Maribel Palleres Guzmán,53,M,"Ingeniera de Ejecución Industrial, Diseñadora Gráfica Publicitaria y Prevencionista de Riesgos",,PalleresKarina,KutzmanG,kainapalleresguzman,,"Ex candidata a concejala de Huasco. Diseñadora Gráfica de la U. de Antofagasta, es además Prevencionista de Riesgos e Ingeniera Industrial. Fue directora ejecutiva provincial de Prodemu en Huasco.",x,2016;C;Huasco;X;UDI;16;0.39,P,Y,5110,1504943
III,6004,K,PSC,PSC,81,Daniela Gallegos,Daniela Alejandra Gallegos Porcile,38,M,Ingeniera de Ejecucón en Administración de Empresas,,,sugarnissi3,daniela.gallegosp,,Ingeniera en Administración de Empresas de la U. Tecnológica Inacap.,x,x,N,Y,5111,1506306
III,6004,K,PNL,PNL,82,Luis Núñez,Luis Marcelino Núñez Barrientos,45,H,Técnico en Construcción,,,luis.nunezbarrientos,luchoporatacama,,Ex candidato a alcalde de Copiapó y a core por Copiapó.,x,2024;A;Copiapó;X;IND;4016;4.10|2021;C;Copiapó;X;IND;469;1.11|2020;Z;Copiapó;X;IND;780;24.41|2017;R;Copiapó;X;FRVS;498;0.87,P,Y,5112,1505280
III,6004,K,PNL,PNL,83,Margarita Contreras,Margarita Farith Contreras Ríos,66,M,Abogada y Profesora de Historia y Geografía,www.margaritacontreras.cl,,profile.php?id=61581641785922,margaritacontrerasrios,,Fue Seremi de Justicia en Atacama. Ex candidata a concejala por Copiapó. Abogada de la U. de Atacama y Profesora de Historia y Geografía de la U. de La Serena.,2018-2022;E;Justicia-III,2008;C;Copiapó;X;UDI;549;1.26,P,Y,5113,1506194
IV,6005,B,AH,AH,51,Daniela Molina,Daniela Andrea Molina Barrera,46,M,Diseñadora Gráfica,,,danielamolinaconcejala,danielamolinabarrera,,"Ex concejala de La Serena en un período. Diseñadora Gráfica de la U. de La Serena. Emprendedora, es activista en defensa de los animales.",2021-2024;C;La Serena,2021;C;La Serena;G;RD;2074;3.13|2017;R;Elqui;X;RD;9521;6.62|2016;C;La Serena;X;RD;831;2.30,P,Y,5114,1504992
